Action,Keyword status,Campaign,Ad group,Keyword,Match Type,Default max. CPC,Final URL,Label
Add,Paused,Search - Pilotage admin PV,Pilotage complet,gestion administrative photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Pilotage global
Add,Paused,Search - Pilotage admin PV,Pilotage complet,gestion administrative photovoltaïque,Exact match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Pilotage global
Add,Paused,Search - Pilotage admin PV,Pilotage complet,pilotage administratif photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Pilotage global
Add,Paused,Search - Pilotage admin PV,Pilotage complet,gestion dossier photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Pilotage global
Add,Paused,Search - Pilotage admin PV,Pilotage complet,suivi administratif photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Pilotage global
Add,Paused,Search - Pilotage admin PV,Externalisation administrative,externaliser administratif photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Externalisation
Add,Paused,Search - Pilotage admin PV,Externalisation administrative,externaliser administratif photovoltaïque,Exact match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Externalisation
Add,Paused,Search - Pilotage admin PV,Externalisation administrative,sous traiter administratif solaire,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Externalisation
Add,Paused,Search - Pilotage admin PV,Externalisation administrative,externalisation administrative solaire,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Externalisation
Add,Paused,Search - Pilotage admin PV,Externalisation administrative,prestataire administratif photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Externalisation
Add,Paused,Search - Sous-traitance DP,Sous-traitance DP,sous traitance déclaration préalable photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,DP
Add,Paused,Search - Sous-traitance DP,Sous-traitance DP,sous traitance déclaration préalable photovoltaïque,Exact match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,DP
Add,Paused,Search - Sous-traitance DP,Sous-traitance DP,déléguer déclaration préalable solaire,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,DP
Add,Paused,Search - Sous-traitance DP,Sous-traitance DP,declaration préalable panneaux solaires installateur,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,DP
Add,Paused,Search - Sous-traitance DP,Sous-traitance DP,dossier dp photovoltaïque professionnel,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,DP
Add,Paused,Search - Sous-traitance DP,Blocage mairie DP,complément mairie panneaux solaires,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=blocage_mairie_dp,Blocage mairie
Add,Paused,Search - Sous-traitance DP,Blocage mairie DP,déclaration préalable refusée panneaux solaires,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=blocage_mairie_dp,Blocage mairie
Add,Paused,Search - Sous-traitance DP,Blocage mairie DP,dossier déclaration préalable incomplet photovoltaïque,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=blocage_mairie_dp,Blocage mairie
Add,Paused,Search - Consuel Raccordement,Consuel PV,dossier consuel photovoltaïque installateur,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Consuel
Add,Paused,Search - Consuel Raccordement,Consuel PV,dossier consuel photovoltaïque,Exact match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Consuel
Add,Paused,Search - Consuel Raccordement,Consuel PV,consuel photovoltaïque dossier,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Consuel
Add,Paused,Search - Consuel Raccordement,Consuel PV,suivi consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Consuel
Add,Paused,Search - Consuel Raccordement,Raccordement Enedis,raccordement enedis photovoltaïque installateur,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Raccordement
Add,Paused,Search - Consuel Raccordement,Raccordement Enedis,suivi raccordement photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Raccordement
Add,Paused,Search - Consuel Raccordement,Raccordement Enedis,dossier raccordement enedis photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Raccordement
Add,Paused,Search - Consuel Raccordement,Raccordement Enedis,raccordement enedis photovoltaïque,Exact match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Raccordement
